whaleshark_atp6,blacktipreefshark_atp6
whaleshark_atp8,blacktipreefshark_atp8
whaleshark_cox1,blacktipreefshark_cox1
whaleshark_cox2,blacktipreefshark_cox2
whaleshark_cox3,blacktipreefshark_cox3
whaleshark_cytb,blacktipreefshark_cytb
whaleshark_nd1,blacktipreefshark_nd1
whaleshark_nd2,blacktipreefshark_nd2
whaleshark_nd3,blacktipreefshark_nd3
whaleshark_nd4,blacktipreefshark_nd4
whaleshark_nd4l,blacktipreefshark_nd4l
whaleshark_nd5,blacktipreefshark_nd5
whaleshark_nd6,blacktipreefshark_nd6
