zebrafish_atp6,sandbarshark_atp6,378
zebrafish_atp8,sandbarshark_atp8,81
zebrafish_co1,sandbarshark_cox1,1363
zebrafish_co2,sandbarshark_cox2,589
zebrafish_co3,sandbarshark_cox3,627
zebrafish_cyb,sandbarshark_cytb,733
zebrafish_nd1,sandbarshark_nd1,455
zebrafish_nd2,sandbarshark_nd2,334
zebrafish_nd3,sandbarshark_nd3,194
zebrafish_nd4,sandbarshark_nd4,632
zebrafish_nd4l,sandbarshark_cytb,23
zebrafish_nd5,sandbarshark_nd5,708
zebrafish_nd6,sandbarshark_nd6,164
zebrafish_rnr1,sandbarshark_nd1,44
zebrafish_rnr2,sandbarshark_nd1,69
zebrafish_ta,sandbarshark_nd5,21
zebrafish_tc,,
zebrafish_td,,
zebrafish_te,,
zebrafish_tg,,
zebrafish_th,sandbarshark_cox2,23
zebrafish_ti,,
zebrafish_tk,,
zebrafish_tl1,sandbarshark_cytb,18
zebrafish_tl2,sandbarshark_cox2,21
zebrafish_tm,sandbarshark_nd5,16
zebrafish_tn,,
zebrafish_tp,sandbarshark_nd4,25
zebrafish_tq,,
zebrafish_tr,,
zebrafish_ts1,,
zebrafish_ts2,sandbarshark_nd6,30
zebrafish_tt,,
zebrafish_tv,,
zebrafish_tw,,
zebrafish_ty,,
