whaleshark_atp6,saltwatercrocodile_atp6
whaleshark_atp8,
whaleshark_cox1,saltwatercrocodile_cox1
whaleshark_cox2,saltwatercrocodile_cox1
whaleshark_cox3,saltwatercrocodile_cox3
whaleshark_cytb,saltwatercrocodile_cytb
whaleshark_nd1,saltwatercrocodile_nd1
whaleshark_nd2,saltwatercrocodile_nd2
whaleshark_nd3,saltwatercrocodile_nd3
whaleshark_nd4,saltwatercrocodile_nd4
whaleshark_nd4l,saltwatercrocodile_nd4l
whaleshark_nd5,saltwatercrocodile_nd5
whaleshark_nd6,saltwatercrocodile_cox1
