whaleshark_atp6,sandbarshark_atp6
whaleshark_atp8,sandbarshark_atp8
whaleshark_cox1,sandbarshark_cox1
whaleshark_cox2,sandbarshark_cox2
whaleshark_cox3,sandbarshark_cox3
whaleshark_cytb,sandbarshark_cytb
whaleshark_nd1,sandbarshark_nd1
whaleshark_nd2,sandbarshark_nd2
whaleshark_nd3,sandbarshark_nd3
whaleshark_nd4,sandbarshark_nd4
whaleshark_nd4l,sandbarshark_nd4l
whaleshark_nd5,sandbarshark_nd5
whaleshark_nd6,sandbarshark_nd6
