whaleshark_atp6,wobblegong_atp6
whaleshark_atp8,wobblegong_atp8
whaleshark_cox1,wobblegong_cox1
whaleshark_cox2,wobblegong_cox2
whaleshark_cox3,wobblegong_cox3
whaleshark_cytb,wobblegong_cytb
whaleshark_nd1,wobblegong_nd1
whaleshark_nd2,wobblegong_nd2
whaleshark_nd3,wobblegong_nd3
whaleshark_nd4,wobblegong_nd4
whaleshark_nd4l,wobblegong_nd4l
whaleshark_nd5,wobblegong_nd5
whaleshark_nd6,wobblegong_nd6
