sandbarshark_ATP6,gianttrevally_ATP6,436
sandbarshark_ATP8,gianttrevally_ATP8,26.5
sandbarshark_COX1,gianttrevally_COX1,1172
sandbarshark_COX2,gianttrevally_COX2,580
sandbarshark_COX3,gianttrevally_COX3,628
sandbarshark_CYTB,gianttrevally_CYTB,727
sandbarshark_ND1,gianttrevally_ND1,538
sandbarshark_ND2,gianttrevally_ND2,388
sandbarshark_ND3,gianttrevally_ND3,125
sandbarshark_ND4,gianttrevally_ND4,723
sandbarshark_ND4L,gianttrevally_ND4L,102
sandbarshark_ND5,gianttrevally_ND5,1087
sandbarshark_ND6,gianttrevally_ND6,167









