gianttrevally_atp6,giantgrouper_atp6
gianttrevally_atp8,giantgrouper_atp8
gianttrevally_cox1,giantgrouper_cox1
gianttrevally_cox2,giantgrouper_cox2
gianttrevally_cytb,giantgrouper_cytb
gianttrevally_nd1,giantgrouper_nd1
gianttrevally_nd2,giantgrouper_nd2
gianttrevally_nd3,giantgrouper_nd3
gianttrevally_nd4,giantgrouper_nd4
gianttrevally_nd4l,giantgrouper_nd4l
gianttrevally_nd5,giantgrouper_nd5
gianttrevally_nd6,giantgrouper_nd6
