whaleshark_atp6,zebrafish_atp6
whaleshark_atp8,zebrafish_atp8
whaleshark_cox1,zebrafish_co1
whaleshark_cox2,zebrafish_co2
whaleshark_cox3,zebrafish_co3
whaleshark_cytb,zebrafish_cyb
whaleshark_nd1,zebrafish_nd1
whaleshark_nd2,zebrafish_nd2
whaleshark_nd3,zebrafish_nd3
whaleshark_nd4,zebrafish_nd4
whaleshark_nd4l,zebrafish_nd4l
whaleshark_nd5,zebrafish_nd5
whaleshark_nd6,zebrafish_nd6
