whaleshark_atp6,giantgrouper_atp6
whaleshark_atp8,giantgrouper_atp8
whaleshark_cox1,giantgrouper_cox1
whaleshark_cox2,giantgrouper_cox2
whaleshark_cox3,giantgrouper_cox3
whaleshark_cytb,giantgrouper_cytb
whaleshark_nd1,giantgrouper_nd1
whaleshark_nd2,giantgrouper_nd2
whaleshark_nd3,giantgrouper_nd3
whaleshark_nd4,giantgrouper_nd4
whaleshark_nd4l,giantgrouper_nd4l
whaleshark_nd5,giantgrouper_nd5
whaleshark_nd6,giantgrouper_nd6
