gianttrevally_atp6,human_atp6
gianttrevally_atp8,human_atp8
gianttrevally_cox1,human_co1
gianttrevally_cox2,human_co2
gianttrevally_cox3,human_co3
gianttrevally_cytb,human_cyb
gianttrevally_nd1,human_nd1
gianttrevally_nd2,human_nd2
gianttrevally_nd3,human_nd3
gianttrevally_nd4,human_nd4
gianttrevally_nd4l,human_nd4l
gianttrevally_nd5,human_nd5
gianttrevally_nd6,human_nd6
