gianttrevally_atp6,zebrafish_atp6
gianttrevally_atp8,zebrafish_co2
gianttrevally_cox1,zebrafish_co1
gianttrevally_cox2,zebrafish_co2
gianttrevally_cox3,zebrafish_co3
gianttrevally_cytb,zebrafish_cyb
gianttrevally_nd1,zebrafish_nd1
gianttrevally_nd2,zebrafish_nd2
gianttrevally_nd3,zebrafish_nd3
gianttrevally_nd4,zebrafish_nd4
gianttrevally_nd4l,zebrafish_nd4l
gianttrevally_nd5,zebrafish_nd5
gianttrevally_nd6,zebrafish_nd6
