whaleshark_atp6,gianttrevally_atp6
whaleshark_atp8,gianttrevally_atp8
whaleshark_cox1,gianttrevally_cox1
whaleshark_cox2,gianttrevally_cox2
whaleshark_cox3,gianttrevally_cox3
whaleshark_cytb,gianttrevally_cytb
whaleshark_nd1,gianttrevally_nd1
whaleshark_nd2,gianttrevally_nd2
whaleshark_nd3,gianttrevally_nd3
whaleshark_nd4,gianttrevally_nd4
whaleshark_nd4l,gianttrevally_nd4l
whaleshark_nd5,gianttrevally_nd5
whaleshark_nd6,gianttrevally_nd6
